Brand,Screen_Size,RAM,Processor,GPU,Price,,
Lenovo,14,16,Intel Core i5 7th Gen.,Intel HD Graphics 520,188.99,,
Dell,15.6,64,Intel Core i5 8th Gen.,Intel UHD Graphics 620,349.99,,
HP,15.6,8,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,369.95,,
Lenovo,15.6,Up,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,459,,
Lenovo,15.6,16,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,499,,
Microsoft,13.5,8,Intel Core i5 12th Gen.,Intel Iris Xe Graphics,349,,
Lenovo,15.6,16,Intel Core i7 13th Gen.,Intel Iris Xe Graphics,529.98,,
Dell,15.6,64,Intel Core i5 7th Gen.,Intel HD Graphics 620,319.99,,
Microsoft,13.5,8,Intel Core i5 8th Gen.,Intel HD Graphics 620,245,,
Lenovo,14,16,Intel Core i5 6th Gen.,Intel HD Graphics,179.99,,
Lenovo,15.6,16,Intel Core i7 7th Gen.,NVIDIA Quadro M2200,314.96,,
Dell,14,16,Intel Core i5 13th Gen.,Intel Iris Xe Graphics,550,,
Dell,14,16,Intel Core i5 13th Gen.,Intel Iris Xe Graphics,459,,
Asus,13.4,16,Intel Core i7 12th Gen.,NVIDIA GeForce RTX 3050,732,,
Dell,14,32,Intel Core i7 11th Gen.,,429,,
Dell,14,16,Intel Core i5 6th Gen.,,219.99,,
Lenovo,13.3,8,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,247.45,,
Asus,15.6,16,Intel Core i7 13th Gen.,NVIDIA GeForce RTX 3050,699,,
Dell,15.6,64,Intel Core i5 8th Gen.,Intel UHD Graphics 620,322,,
Dell,15.6,64,Intel Core i5 8th Gen.,Intel UHD Graphics 620,299.99,,
Dell,14,8,Intel Core i5 6th Gen.,Intel HD Graphics 520,319.99,,
Dell,13.3,16gb,Intel Core i7 8th Gen.,,229.99,,
Asus,15.6,16,Intel Core i7 12th Gen.,Intel Iris Xe Graphics,214.5,,
Asus,15.6,16,Intel Core i5 12th Gen.,Intel Iris Xe Graphics,365,,
Razer,15.6,16,Intel Core i7 8th Gen.,NVIDIA GeForce GTX 1070,509.99,,
Lenovo,14,16,Intel Core i5 8th Gen.,Intel UHD Graphics,279.99,,
HP,11.6,8,Intel Core i5 5th Gen.,Intel HD Graphics,119.99,,
HP,14,8,Intel Core i5 12th Gen.,Intel Iris Xe Graphics,494.99,,
Dell,14,64,Intel Core i7 8th Gen.,Intel UHD Graphics 620,399.99,,
Dell,15.6,16,Intel Core i5 8th Gen.,Intel UHD Graphics,237.99,,
Dell,15.6,64,Intel Core i7 8th Gen.,Intel UHD Graphics 620,446,,
Microsoft,12.4,8,Intel Core i5 10th Gen.,Intel UHD Graphics,299,,
HP,16,16,Intel Core i7 12th Gen.,Intel Iris Xe Graphics,425,,
Lenovo,15.6,8,Intel Core i3 13th Gen.,Intel UHD Graphics,269,,
Dell,14,16gb,Intel Core i7 8th Gen.,Intel UHD Graphics 620,239.99,,
HP,15.6,16,Intel Core i5 8th Gen.,Intel UHD Graphics 620,249.99,,
Lenovo,14,16,Intel Core i5 11th Gen.,,404.99,,
Asus,15.6,16,Intel Core i7 12th Gen.,NVIDIA GeForce RTX 3060,799.99,,
Lenovo,16,16,Intel Core i7 12th Gen.,NVIDIA GeForce RTX 3050 Ti,899.99,,
HP,15.6,8,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,399,,
HP,15.6,8,Intel Core i3 12th Gen.,Intel UHD Graphics,339,,
Dell,15.6,16,Intel Core i5 12th Gen.,,499,,
HP,15.6,8,Intel Core i5 12th Gen.,Intel Iris Xe Graphics,499.99,,
MSI,15.6,32,Intel Core i9 13th Gen.,,799.99,,
Lenovo,14.5,16,Intel Core i7 8th Gen.,Intel UHD Graphics 620,239.99,,
Dell,15.6,16,Intel Core i7 12th Gen.,Intel Iris Xe Graphics,579,,
HP,14,16,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,459.95,,
Lenovo,13.3,8,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,269.95,,
HP,15.6,8,AMD Ryzen 5 7000 Series,NVIDIA GeForce RTX 2050,525,,
Microsoft,13.3,8,Intel Core i5 10th Gen.,Intel HD Graphics 620,291.46,,
